nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,id_kel,tanggal,pelaku_perjalanan,pelaku_perjalanan_perawatan_rs,pelaku_perjalanan_isolasi_di_rumah,pelaku_perjalanan_selesai_isolasi,pelaku_perjalanan_baru,pelaku_perjalanan_perawatan_rs_baru,pelaku_perjalanan_isolasi_di_rumah_baru,pelaku_perjalanan_selesai_isolasi_baru
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-01,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-02,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-03,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-04,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-05,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-06,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-07,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-08,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-09,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-10,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-11,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-12,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-13,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-14,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-15,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-16,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-17,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-18,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-19,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-20,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-21,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-22,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-23,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-24,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-25,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-26,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-27,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-28,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-29,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-30,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-31,6,0,0,6,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-01,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-02,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-03,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-04,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-05,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-06,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-07,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-08,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-09,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-10,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-11,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-12,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-13,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-14,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-15,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-16,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-17,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-18,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-19,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-20,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-21,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-22,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-23,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-24,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-25,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-26,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-27,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-28,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-29,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-30,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-31,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-01,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-02,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-03,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-04,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-05,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-06,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-07,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-08,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-09,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-10,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-11,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-12,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-13,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-14,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-15,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-16,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-17,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-18,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-19,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-20,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-21,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-22,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-23,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-24,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-25,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-26,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-27,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-28,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-29,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-30,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3173011002,2020-10-31,4,0,0,4,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-01,10,0,0,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-02,10,0,0,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-03,10,0,0,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-04,10,0,0,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-05,10,0,0,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-06,10,0,0,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-07,11,0,1,10,1,0,1,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-08,11,0,1,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-09,11,0,1,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-10,11,0,1,10,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-11,12,0,1,11,1,0,0,1
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-12,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-13,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-14,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-15,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-16,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-17,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-18,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-19,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-20,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-21,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-22,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-23,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-24,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-25,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-26,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-27,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-28,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-29,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-30,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3173011005,2020-10-31,12,0,1,11,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-01,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-02,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-03,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-04,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-05,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-06,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-07,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-08,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-09,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-10,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-11,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-12,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-13,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-14,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-15,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-16,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-17,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-18,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-19,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-20,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-21,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-22,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-23,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-24,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-25,1,0,0,1,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,3173011004,2020-10-26,1,0,0,1,0,0,0,0
