nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_penduduk,id_kel
DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,3680,3101021003
DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,6078,3101021002
DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,2547,3101021001
DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,2648,3101011003
DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,7171,3101011002
DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,7106,3101011001
DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,82648,3173011001
DKI Jakarta,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,102296,3173011006
DKI Jakarta,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,98339,3173011002
DKI Jakarta,JAKARTA BARAT,CENGKARENG,KAPUK,171610,3173011005
DKI Jakarta,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,41033,3173011004
DKI Jakarta,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,80290,3173011003
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,20612,3173021001
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,36643,3173021004
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,46878,3173021006
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,30756,3173021005
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,20593,3173021002
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,36048,3173021003
DKI Jakarta,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,48485,3173021007
DKI Jakarta,JAKARTA BARAT,KALI DERES,KALIDERES,90737,3173061001
DKI Jakarta,JAKARTA BARAT,KALI DERES,KAMAL,68710,3173061004
DKI Jakarta,JAKARTA BARAT,KALI DERES,PEGADUNGAN,93872,3173061005
DKI Jakarta,JAKARTA BARAT,KALI DERES,SEMANAN,90599,3173061002
DKI Jakarta,JAKARTA BARAT,KALI DERES,TEGAL ALUR,106028,3173061003
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,DURI KEPA,73944,3173051005
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,67404,3173051001
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,40080,3173051007
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,56410,3173051006
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,29334,3173051004
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,47255,3173051003
DKI Jakarta,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,48472,3173051002
DKI Jakarta,JAKARTA BARAT,KEMBANGAN,JOGLO,51215,3173081005
DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,33370,3173081006
DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,68358,3173081001
DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,40394,3173081003
DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,54510,3173081002
DKI Jakarta,JAKARTA BARAT,KEMBANGAN,SRENGSENG,56968,3173081004
DKI Jakarta,JAKARTA BARAT,PAL MERAH,JATI PULO,36023,3173071004
DKI Jakarta,JAKARTA BARAT,PAL MERAH,KEMANGGISAN,39436,3173071005
DKI Jakarta,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,26956,3173071006
DKI Jakarta,JAKARTA BARAT,PAL MERAH,KOTA BAMBU UTARA,31719,3173071003
DKI Jakarta,JAKARTA BARAT,PAL MERAH,PALMERAH,78186,3173071001
DKI Jakarta,JAKARTA BARAT,PAL MERAH,SLIPI,20554,3173071002
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,GLODOK,9052,3173031007
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21393,3173031006
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,KRUKUT,23812,3173031002
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,9163,3173031005
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,MAPHAR,19791,3173031003
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,PINANGSIA,13018,3173031008
DKI Jakarta,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,17262,3173031001
