nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,id_kel,tanggal,suspek,suspek_perawatan_rs,suspek_isolasi_di_rumah,suspek_selesai_isolasi,suspek_meninggal,suspek_baru,suspek_perawatan_rs_baru,suspek_isolasi_di_rumah_baru,suspek_selesai_isolasi_baru,suspek_meninggal_baru
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-01,444,3,44,396,1,0,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-02,453,3,47,402,1,9,0,3,6,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-03,461,9,46,405,1,8,6,-1,3,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-04,461,9,46,405,1,0,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-05,486,11,66,408,1,25,2,20,3,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-06,496,11,68,416,1,10,0,2,8,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-07,507,11,73,422,1,11,0,5,6,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-08,531,11,92,427,1,24,0,19,5,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-09,541,11,99,430,1,10,0,7,3,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-10,551,11,98,441,1,10,0,-1,11,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-11,557,11,98,447,1,6,0,0,6,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-12,564,8,97,458,1,7,-3,-1,11,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-13,567,8,90,468,1,3,0,-7,10,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-14,586,8,98,479,1,19,0,8,11,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-15,602,5,99,497,1,16,-3,1,18,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-16,604,4,81,518,1,2,-1,-18,21,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-17,605,3,80,521,1,1,-1,-1,3,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-18,613,3,87,522,1,8,0,7,1,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-19,615,5,67,542,1,2,2,-20,20,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-20,629,6,67,555,1,14,1,0,13,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-21,646,5,66,574,1,17,-1,-1,19,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-22,666,4,59,602,1,20,-1,-7,28,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-23,671,4,60,606,1,5,0,1,4,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-24,683,4,60,618,1,12,0,0,12,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-25,687,4,61,621,1,4,0,1,3,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-26,694,6,39,648,1,7,2,-22,27,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-27,703,7,37,658,1,9,1,-2,10,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-28,706,7,34,664,1,3,0,-3,6,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-29,717,9,37,670,1,11,2,3,6,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-30,728,6,38,683,1,11,-3,1,13,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3173011001,2020-10-31,745,9,51,684,1,17,3,13,1,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-01,635,4,66,558,7,0,0,0,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-02,641,3,63,568,7,6,-1,-3,10,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-03,644,6,61,570,7,3,3,-2,2,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-04,646,6,63,570,7,2,0,2,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-05,664,7,73,577,7,18,1,10,7,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-06,671,7,67,590,7,7,0,-6,13,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-07,685,8,74,596,7,14,1,7,6,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-08,708,8,83,610,7,23,0,9,14,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-09,712,8,87,610,7,4,0,4,0,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-10,733,9,90,627,7,21,1,3,17,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-11,743,14,91,631,7,10,5,1,4,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-12,747,15,83,642,7,4,1,-8,11,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-13,751,16,81,647,7,4,1,-2,5,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-14,758,17,75,659,7,7,1,-6,12,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-15,766,15,78,666,7,8,-2,3,7,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-16,777,13,69,688,7,11,-2,-9,22,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-17,778,10,70,691,7,1,-3,1,3,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-18,780,9,71,693,7,2,-1,1,2,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-19,783,7,63,706,7,3,-2,-8,13,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-20,794,7,58,722,7,11,0,-5,16,0
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3173011006,2020-10-21,855,6,42,800,7,61,-1,-16,78,0
