judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
"Rumah Termurah Mewah Swimming Pool Turun Dari Rp. 11 M Jadi Rp 7,8 M An Area Kemang ,","Kemang, Jakarta Selatan","7,8 Miliar",320,390,4,5,2,PIrman,01 September 2022
PONDOK INDAH Murah Sekali Lokasi Bagus,"Pondok Indah, Jakarta Selatan",15 Miliar,250,400,5,4,,yudhi ferdiansyah,31 Agustus 2022
Rumah Bagus @Dukuh Patra Kuningan Jakarta Selatan,"Kuningan, Jakarta Selatan",28 Miliar,502,650,4,4,,yudhi ferdiansyah,31 Agustus 2022
Rumah Baru Classic Minimalis Dalam Townhouse Di Pejaten Barat,"Pejaten, Jakarta Selatan","4,4 Miliar",165,180,4,3,2,Graha,31 Agustus 2022
Rumah Dijual di Sektor Premium Pondok Indah,"Pondok Indah, Jakarta Selatan","16,5 Miliar",388,450,6,4,,Yovanna Janus D,31 Agustus 2022
Rumah Baru Mewah Murah Strategis Di Cilandak KKO Raya,"Cilandak, Jakarta Selatan","3,6 Miliar",104,200,4,4,2,Graha,31 Agustus 2022
"Rumah 2 Lantai Bagus Unfurnished Sertifikat Hak Milik di Green Andara Residence, Jakarta Selatan","Pondok Labu, Jakarta Selatan","2,9 Miliar",109,120,4,3,1,Valent Eddy Husny,31 Agustus 2022
Dijual Rumah Minimalis Oleh Famous Designer TERMURAH!!!!!,"Jati Padang, Jakarta Selatan",14 Miliar,450,350,5,3,1,Leo Liong - MR GI,25 Agustus 2022
Rumah cantik dengan Rooftop,"Lebak Bulus, Jakarta Selatan","2,2 Miliar",77,140,3,3,2,edwin sanjaya,25 Agustus 2022
Dijual Rumah Kemang Dengan Pool Besar TERMURAH!!,"Kemang, Jakarta Selatan","15,1 Miliar",432,490,4,4,1,Leo Liong - MR GI,24 Agustus 2022
Rumah Siap Huni Dekat Jalan Raya Di Cinere,"Cinere, Jakarta Selatan","3,3 Miliar",202,175,3,2,2,Imas Wahyu,24 Agustus 2022
Rumah Halaman Luas Harga Termurah Dalam Komplek Di Cinere,"Cinere, Jakarta Selatan","2,85 Miliar",412,267,4,3,2,Imas Wahyu,24 Agustus 2022
"Di Jual Rumah Mewah Dengan Harga Murah Kemang Ampera, Jakarta Selatan","Ampera, Jakarta Selatan",15 Miliar,638,600,5,4,2,Mediffa,18 Agustus 2022
Rumah Mewah di Jakarta Selatan,"Terogong, Jakarta Selatan",33 Miliar,895,800,5,4,,Louisa Christina,17 Agustus 2022
"Turun Harga Townhouse Minimalis Modern di Ampera, Jak Sel","Ampera, Jakarta Selatan","7,9 Miliar",320,390,4,5,,Salwa Assegaf,11 Agustus 2022
Turun harga Brand New Hadap Timur di Cipete,"Cipete, Jakarta Selatan","5,9 Miliar",200,373,4,4,1,Deni Setiawan,11 Agustus 2022
"Rumah Dalam Townhouse di Ampera, Jakarta Selatan ¬ Swimming Pool","Ampera, Jakarta Selatan","7,8 Miliar",320,250,4,4,,Novie Kusuma,11 Agustus 2022
Paling Murah di Kemang Jakarta Selatan,"Kemang, Jakarta Selatan","6,3 Miliar",388,225,3,2,,Salwa Assegaf,11 Agustus 2022
Rumah Murah di Townhouse Cipete - Fatmawati,"Cipete, Jakarta Selatan",15 Miliar,658,464,5,4,2,FAISAL RAHMAN,10 Agustus 2022
Rumah Murah 2 Lantai 3 Kt Dekat Cbd Bintaro Jaya SHM,"Bintaro, Jakarta Selatan","1,29 Miliar",60,70,3,2,1,Yaman Pardosi,10 Agustus 2022
Rumah strategis ApartHouse diselatan jakarta,"Tanjung Barat, Jakarta Selatan",970 Juta,48,50,2,2,1,Irfan  Herdy,04 Agustus 2022
For Sale Rumah Mewah dalam Cluster row jalan lebar 9m2 Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","3,4 Miliar",128,156,3,3,2,Junaedi  Abdullah,31 Agustus 2022
RUMAH 3 LANTAI DI MOCHAMAD KAHFI 1 JAGAKARSA  HARGA NEGO,"Jagakarsa, Jakarta Selatan","4,5 Miliar",167,300,5,5,1,iwan Jagakarsa,30 Agustus 2022
Rumah Qozy Nyaman Depan Bali View di Terrace Res Jl Galur Cirendeu,"Cirendeu, Jakarta Selatan","1,7 Miliar",98,70,2,1,1,Ibu Dhany,30 Agustus 2022
"Rumah Mewah Ada Pool Dan Lift Akses Tol Andara Jagakarsa, Jakarta","Jagakarsa, Jakarta Selatan","5,5 Miliar",160,380,6,4,2,Adhi - Agen Properti,24 Agustus 2022
RUMAH LUAS ASRI MURAH STRATEGIS DI JATI PADANG PEJATEN JAKSEL,"Jati Padang, Jakarta Selatan",13 Miliar,928,600,5,5,4,Bunny Racello,24 Agustus 2022
RUMAH MEWAH LUAS MURAH STRATEGIS DI AMPERA KEMANG JAKSEL,"Ampera, Jakarta Selatan","13,9 Miliar",465,640,4,4,2,Bunny Racello,24 Agustus 2022
"Rumah Bagus Siap Huni, SHM di Bintaro Sektor 2","Sektor 2 - Bintaro, Jakarta Selatan","2,85 Miliar",180,225,3,2,1,Dina Hermawati,24 Agustus 2022
Rumah 2 lantai dekat Mall Pondok Indah di Jakarta Selatan,"Pondok Indah, Jakarta Selatan",30 Miliar,550,800,5,5,4,Dina Hermawati,24 Agustus 2022
"Rumah Bintaro Jaya Sektor 1, Dki Jakarta, Depan Taman","Bintaro, Jakarta Selatan","7,8 Miliar",302,400,3,3,2,michael mangowal,24 Agustus 2022
Hot Deal Rumah 2 lantai lingkungan asri...,"Pondok Indah, Jakarta Selatan",48 Miliar,1229,850,6,5,2,Nina Kuntjoro,23 Agustus 2022
"Rumah Murah di Executive Paradise, Antasari, Jakarta Selatan","Antasari, Jakarta Selatan","7,5 Miliar",267,270,4,4,2,Halil Ibrahim,17 Agustus 2022
"Rumah Minimalis Bagus di Pondok Indah ~  Turun Harga, Area tenang","Pondok Indah, Jakarta Selatan","8,9 Miliar",199,250,4,4,2,Yovanna Janus D,16 Agustus 2022
Rumah 3 Lantai di Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","4,5 Miliar",167,300,4,4,1,Budi Adhi,10 Agustus 2022
"Rumah Mewah Harga Murah, Tanah Luas,bebas Banjir, Dekat Ke 3 Stasiun, Dekat Ke 2 Tol, Dekat Ke 4 Rs, Cctv, Security 24 Jam","Cirendeu, Jakarta Selatan",975 Juta,80,130,2,2,,Sadad property,09 Agustus 2022
Rumah Nyaman Siap Huni Akses 2 Mobil 5 Menit Ke Tol Kukusan Beji,"Jagakarsa, Jakarta Selatan","1,45 Miliar",97,130,3,3,1,Muhammad Yusuf Muharram,03 Agustus 2022
Rumah Baru 3 Lantai Siap Huni Skandinavia Nempel Bintaro,"Bintaro, Jakarta Selatan","1,58 Miliar",65,132,3,3,1,Ismi Aulia Sabrina,30 Agustus 2022
Rumah  Baru Mewah ada Kolam Renang +-15 Menit ke  Cilandak  Jalan tol TB Simatupang Jakarta Selatan  siap huni plus ada Lampu2  gantung Hias /Kitchen Set,"Jagakarsa, Jakarta Selatan","2,85 Miliar",107,150,3,3,1,Hendra proferty,30 Agustus 2022
Rumah Baru Mewah ada Kolam Renang di komplek Besar asfi nyamanJalan  luas bebas banjir  dekat ke Cilandak,"Jagakarsa, Jakarta Selatan","3,49 Miliar",135,240,3,3,1,Hendra proferty,30 Agustus 2022
Termurah rumah tinggal dan usaha area cipete jakarta selatan di Area cipete,"Cipete, Jakarta Selatan",24 Miliar,1287,550,4,3,4,Agus Sutisna Wijaya,30 Agustus 2022
Rumah scandinavian +Rooftop Dalam Cluster Dijagakarsa,"Jagakarsa, Jakarta Selatan","1,8 Miliar",70,150,4,4,2,iwan Jagakarsa,29 Agustus 2022
Rumah Harga nego Rumah di Srengseng sawah Jagakarsa 2 Lantai SHM,"Jagakarsa, Jakarta Selatan","1,25 Miliar",77,120,3,3,1,iwan Jagakarsa,29 Agustus 2022
Harga Murah Masih Nego Dengan Jalan Lebar di Pondok Indah,"Pondok Indah, Jakarta Selatan","5,5 Miliar",187,210,4,3,1,FAUZIAH Mrs,29 Agustus 2022
Rumah 1 Lantai Dalam Komplek di Ampera Lokasi Tenang,"Ampera, Jakarta Selatan","14,5 Miliar",650,220,4,3,2,Ecko Adiamsah,29 Agustus 2022
Rumah Di Kawasan Pondok Indah Harga Dibawah Pasaran Ada Kolam Renang,"Pondok Indah, Jakarta Selatan","10,2 Miliar",453,337,4,3,2,Ecko Adiamsah,29 Agustus 2022
Rumah Tua Permata Hijau Dekat Hero Dan Jalan Raya Turun Harga,"Permata Hijau, Jakarta Selatan",37 Miliar,778,500,5,4,3,Priscilla Marlen Marlen,29 Agustus 2022
BRANDNEW Townhouse Modern Classic 3 lantai Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","2,6 Miliar",79,240,4,3,2,Junaedi  Abdullah,23 Agustus 2022
Rumah Cluster Dekat Jalan M.kahfi 1 Jagakarsa,"Jagakarsa, Jakarta Selatan","3,65 Miliar",103,286,4,4,1,Budi Adhi,23 Agustus 2022
Rumah Murah di Pinang Mas Dekat Mall Pondok Indah Jakarta Selatan,"Pondok Indah, Jakarta Selatan","5,5 Miliar",117,350,3,2,1,Dina Hermawati,23 Agustus 2022
Rumah Minimalis Modern Siap Huni di Pomentia Residence Jagakarsa,"Jagakarsa, Jakarta Selatan","2,64 Miliar",110,140,4,4,1,PASHOUSES ID,22 Agustus 2022
"Brand New Karya Arsitek Atelier,rooftop,lift,area Prime Pdk Indah","Pondok Indah, Jakarta Selatan","19,5 Miliar",264,603,4,6,2,Mochamad  Kholik,16 Agustus 2022
Rumah Mewah American Classic di komplek DPR Jakarta Selatan,"Jagakarsa, Jakarta Selatan","5,5 Miliar",214,350,5,5,1,"Tayang Sejak 16 Agustus, 2022",
CILANDAK Luxury House Modern Classic,"Cilandak, Jakarta Selatan","9,8 Miliar",245,345,4,4,2,Junaedi  Abdullah,15 Agustus 2022
Rumah Mewah Asri Ampera Kemang Jakarta Selatan,"Kemang, Jakarta Selatan",18 Miliar,389,450,4,4,,Junaedi  Abdullah,15 Agustus 2022
"Rumah Mewah Harga Murah, Tanah Luas,bebas Banjir, Dekat Ke 3 Stasiun, Dekat Ke 2 Tol, Dekat Ke 4 Rs, Security 24 Jam","Lebak Bulus, Jakarta Selatan","1,45 Miliar",70,80,3,3,,Sadad property,09 Agustus 2022
Di julan Ruman calaster di tanjung barat,"Tanjung Barat, Jakarta Selatan","1,07 Miliar",44,50,3,2,1,Kamaludin din,09 Agustus 2022
Dijual Kost di Kebayoran Lama Jaksel Baru Siap Renovasi,"Kebayoran Lama, Jakarta Selatan","11,8 Miliar",491,1500,57,57,2,Yunita Tan Tan,08 Agustus 2022
Rumah Di Kebayoran Baru Strategis Jakarta Selatan,"Kebayoran Baru, Jakarta Selatan",215 Miliar,1715,900,,,,Mely OCASA PROPERTY,29 Agustus 2022
Rumah Murah di Jagakarsa - Jakarta Selatan,"Jagakarsa, Jakarta Selatan","1,87 Miliar",87,130,3,3,2,FAISAL RAHMAN,29 Agustus 2022
"Rumah Baru Milenial, Dekat Citos ~ Cilandak","Cilandak, Jakarta Selatan","4,1 Miliar",110,220,3,3,1,Dini Dama,29 Agustus 2022
Rumah Scandinavian+Rooftop dalam cluster Dijagakarsa,"Kebagusan, Jakarta Selatan","1,8 Miliar",70,150,4,4,2,iwan Jagakarsa,28 Agustus 2022
"Rumah Butuh Renovasi SHM di Jalan Bendi Raya, Jakarta Selatan","Tanah Kusir, Jakarta Selatan","15,5 Miliar",1020,350,6,3,10,Dina Hermawati,22 Agustus 2022
Rumah Mewah TownHouse Kemang Heritage Full Marmer + Lift,"Kemang, Jakarta Selatan","9,95 Miliar",141,305,3,4,,Richard Khio,22 Agustus 2022
RUMAH MEWAH POSISI HOOK DI DALAM KOMPLEK LOKASI PREMIUM AKSES JALAN 2 MOBIL BESAR,"Jati Padang, Jakarta Selatan","8,5 Miliar",335,400,5,3,4,Yongki Klana,21 Agustus 2022
Rumah murah Di Ampera Harga Dibawah Pasar Ada Pool,"Ampera, Jakarta Selatan","7,9 Miliar",320,250,4,4,,Ecko Adiamsah,15 Agustus 2022
Rumah Cantik 2 akses,"Lebak Bulus, Jakarta Selatan","2,2 Miliar",77,130,3,3,2,edwin sanjaya,08 Agustus 2022
Rumah Mewah Brand New Pondok Indah 627m2 - Pool - Selatan,"Pondok Indah, Jakarta Selatan",59 Miliar,627,1050,5,5,5,Richard Khio,28 Agustus 2022
RUMAH MODERN CLASSIC MURAH PLUS SWIMMING PRIBADI DALAM CLUSTER DI KARANG TENGAH LEBAK BULUS JAKSEL,"Cilandak, Jakarta Selatan","2,85 Miliar",114,150,3,3,2,Bunny Racello,27 Agustus 2022
Rumah Siap Huni Jual Cepat Dekat Lebak Bulus,"Lebak Bulus, Jakarta Selatan",18 Miliar,1500,400,5,4,,Putu  Dewi,13 Agustus 2022
Rumah Asri Siap Huni Lokasi Strategis Di Cipete Jakarta Selatan,"Cipete, Jakarta Selatan","7,5 Miliar",248,350,5,3,2,Melda Dahmin,13 Agustus 2022
Rumah Jual Cepat  Alam Segar di Pondok Indah - Murah,"Pondok Indah, Jakarta Selatan","3,8 Miliar",120,120,3,2,1,Yovanna Janus D,13 Agustus 2022
Rumah Cantik di Lokasi Premium Tebet,"Tebet, Jakarta Selatan","8,8 Miliar",200,350,4,4,2,Jarot Prabowo,27 Agustus 2022
Rumah siap Huni Nego sampe Diel ✓Dalam  komplek pinggir jalan,"Jagakarsa, Jakarta Selatan","1,69 Miliar",74,135,4,3,2,iwan Jagakarsa,27 Agustus 2022
Rumah murah luas bawah njop di aup barat jatipadang jaksel,"Jati Padang, Jakarta Selatan",6 Miliar,820,400,5,4,2,Bunny Racello,26 Agustus 2022
Rumah Di jagakarsa Dalam cluster Harga nego full Bata merah Bebas Banjir,"Cilandak, Jakarta Selatan","2,5 Miliar",120,200,4,4,2,iwan Jagakarsa,26 Agustus 2022
Rumah siap Huni Dalam cluster Harga nego,"Jagakarsa, Jakarta Selatan","2,7 Miliar",126,240,5,4,2,iwan Jagakarsa,26 Agustus 2022
Rumah Plus Rooftop semi 3lantai,"Jagakarsa, Jakarta Selatan","3,05 Miliar",126,250,5,4,2,iwan Jagakarsa,26 Agustus 2022
Rumah 3 Lantai Private pool Dijagakarsa  jln Mochamad Kahfi 1,"Jagakarsa, Jakarta Selatan","4,5 Miliar",167,285,5,4,1,iwan Jagakarsa,26 Agustus 2022
Hunian Mewah + Rooftop Dijagakarsa,"Jagakarsa, Jakarta Selatan","2,9 Miliar",92,230,4,4,2,iwan Jagakarsa,26 Agustus 2022
RUMAH KEREN HARGA NEGO ✓CARFOT 6MOBIL ✓CUMA 5MENIT KE MRT LEBAK BULUS DAN DEKET KE RS FATMAWATI✓CILANDAK,"Lebak Bulus, Jakarta Selatan",5 Miliar,400,220,4,3,,iwan Jagakarsa,26 Agustus 2022
Rumah siap huni dalam cluster,"Jagakarsa, Jakarta Selatan","1,7 Miliar",77,140,4,4,,iwan Jagakarsa,26 Agustus 2022
Rumah siap Huni Harga nego Di Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan","2,2 Miliar",139,220,4,4,,iwan Jagakarsa,26 Agustus 2022
RUMAH DALAM CLUSTER +PRIVATE POLL  HARGA NEGO,"Lebak Bulus, Jakarta Selatan","2,9 Miliar",116,170,4,4,2,iwan Jagakarsa,26 Agustus 2022
Rumah 3 lantai Best Of The Best Di Jagakarsa + private pool,"Jagakarsa, Jakarta Selatan","5,5 Miliar",165,380,5,4,2,iwan Jagakarsa,26 Agustus 2022
RUMAH SIAP HUNI DEKET KE CILANDAK✓  RAGUNAN✓KEBAGUSAN,"Jagakarsa, Jakarta Selatan","2,28 Miliar",121,180,4,4,,iwan Jagakarsa,26 Agustus 2022
Rumah Di tugu tanah baru  Selangkah ke jagakarsa,"Jagakarsa, Jakarta Selatan","1,3 Miliar",97,130,4,3,2,iwan Jagakarsa,26 Agustus 2022
"Rumah Siap Huni Di Jl Mochamad Kahfi1 Jagakarsa, Harga  Nego","Jagakarsa, Jakarta Selatan","3,35 Miliar",180,240,4,4,,iwan Jagakarsa,26 Agustus 2022
